,Log.Median.Scalar.Body,Log.Median.Scalar.Brain,Group,Taxa.List
66,3.452392459,1.092918803,Eocene crown groups,Microchoerus_erinaceus
67,3.456919284,1.093568305,Internal,"Adapis_parisiensis,Notharctus_tenebrosus,Smilodectes_gracilis"
68,3.453251234,1.086795651,Eocene crown groups,Adapis_parisiensis
69,3.460694362,1.093491307,Eocene crown groups,"Notharctus_tenebrosus,Smilodectes_gracilis"
70,3.462776979,1.089883643,Eocene crown groups,Notharctus_tenebrosus
71,-3.460753667,1.090389486,Eocene crown groups,Smilodectes_gracilis
72,3.48738761,-1.111771066,Mesozoic,"Acmeodon_secans,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Leptolambda_schmidti,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Mouillacitherium_elegans,Notostylops_murinus,Oldfieldthomasia_debilitata,Oodectes_herpestoides,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Protoreodon_petersoni,Protylopus_sp.,Pterodon_dasyuroides,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Sinopa_lania,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Thinocyon_velox,Titanoides_primaevus,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zygorhiza_kochii"
73,3.480958938,1.105436706,Paleocene,Acmeodon_secans
74,-3.480339818,-1.105436706,Internal,"Palaeophyllophora_oltina,Palaeophyllophora_quercyi"
75,-3.481217686,1.105983121,Eocene crown groups,Palaeophyllophora_oltina
76,-3.48151887,-1.106253741,Eocene crown groups,Palaeophyllophora_quercyi
77,4.956358406,2.372822768,Mesozoic,"Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Leptolambda_schmidti,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Mouillacitherium_elegans,Notostylops_murinus,Oldfieldthomasia_debilitata,Oodectes_herpestoides,Oxacron_sp.,Palaeosyops_robustus,Pantolambda_bathmodon,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Protoreodon_petersoni,Protylopus_sp.,Pterodon_dasyuroides,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Sinopa_lania,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Thinocyon_velox,Titanoides_primaevus,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zygorhiza_kochii"
78,4.953543369,2.375159536,Mesozoic,"Cynohyaenodon_cayluxi,Dinictis_felina,Hyaenodon_horridus,Metacheiromys_marshi,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Pterodon_dasyuroides,Sinopa_lania,Thinocyon_velox,Tritemnodon_agilis,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
79,4.952844545,2.373144781,Eocene stem groups,Metacheiromys_marshi
80,4.967883132,2.418502926,Internal,"Cynohyaenodon_cayluxi,Dinictis_felina,Hyaenodon_horridus,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Pterodon_dasyuroides,Sinopa_lania,Thinocyon_velox,Tritemnodon_agilis,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
81,-4.968645135,-2.419500624,Paleocene,"Dinictis_felina,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
82,4.974034241,2.426092409,Internal,"Dinictis_felina,Miacis_sylvestris,Oodectes_herpestoides,Prohesperocyon_wilsoni,Vulpavus_ovatus,Vulpavus_profectus"
83,4.987639197,2.454551923,Eocene stem groups,"Dinictis_felina,Miacis_sylvestris,Prohesperocyon_wilsoni,Vulpavus_ovatus,Vulpavus_profectus"
84,-5.043146352,-2.696814041,Eocene stem groups,"Dinictis_felina,Miacis_sylvestris,Prohesperocyon_wilsoni"
85,5.236344868,3.569825663,Eocene stem groups,"Dinictis_felina,Prohesperocyon_wilsoni"
86,5.252623463,3.506559528,Eocene crown groups,Prohesperocyon_wilsoni
87,5.150333335,3.452696705,Eocene crown groups,Dinictis_felina
88,-5.047148395,-2.698296706,Eocene stem groups,Miacis_sylvestris
89,4.987567706,2.455437113,Eocene stem groups,"Vulpavus_ovatus,Vulpavus_profectus"
90,4.985979543,2.452363527,Eocene stem groups,Vulpavus_ovatus
91,-4.984872444,2.450107179,Eocene stem groups,Vulpavus_profectus
92,-4.970822403,2.422360907,Eocene stem groups,Oodectes_herpestoides
93,-4.96616589,-2.418056811,Eocene stem groups,Viverravus_minutus
94,5.15088677,2.591000265,Paleocene,"Cynohyaenodon_cayluxi,Hyaenodon_horridus,Pterodon_dasyuroides,Sinopa_lania,Thinocyon_velox,Tritemnodon_agilis"
95,6.1691285,2.617892159,Eocene stem groups,Pterodon_dasyuroides
96,5.147754811,2.585753136,Internal,"Cynohyaenodon_cayluxi,Sinopa_lania,Tritemnodon_agilis"
97,-5.151401108,-2.592398583,Eocene stem groups,"Cynohyaenodon_cayluxi,Sinopa_lania"
98,-5.145618211,-2.584314296,Eocene stem groups,Cynohyaenodon_cayluxi
99,5.150151643,-2.588851526,Eocene stem groups,Sinopa_lania
100,5.149564089,2.589974515,Eocene stem groups,Tritemnodon_agilis
101,-5.259676544,-2.717945582,Internal,"Hyaenodon_horridus,Thinocyon_velox"
102,-5.285570846,-2.744251295,Eocene stem groups,Thinocyon_velox
103,5.577519245,3.164774026,Eocene stem groups,Hyaenodon_horridus
104,6.411848055,2.533162858,Mesozoic,"Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Leptolambda_schmidti,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Mouillacitherium_elegans,Notostylops_murinus,Oldfieldthomasia_debilitata,Oxacron_sp.,Palaeosyops_robustus,Pantolambda_bathmodon,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Protoreodon_petersoni,Protylopus_sp.,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Xenicohippus_sp.,Zygorhiza_kochii"
105,8.214475123,4.142304035,Internal,"Tetheopsis_ingens,Uintatherium_anceps"
106,8.170448085,3.79851606,Eocene stem groups,Uintatherium_anceps
107,9.806055455,3.810012384,Eocene stem groups,Tetheopsis_ingens
108,6.466077298,2.904908276,Mesozoic,"Alcidedorbignya_inopinata,Coryphodon_elephantopus,Coryphodon_hamatus,Leptolambda_schmidti,Pantolambda_bathmodon,Titanoides_primaevus,Trogosus_grangeri,Trogosus_hillsii"
109,6.479228112,3.053404116,Internal,"Trogosus_grangeri,Trogosus_hillsii"
110,6.465816108,2.955245432,Eocene stem groups,Trogosus_grangeri
111,6.466067202,2.943444626,Eocene stem groups,Trogosus_hillsii
112,-6.740172688,3.086840181,Mesozoic,"Alcidedorbignya_inopinata,Coryphodon_elephantopus,Coryphodon_hamatus,Leptolambda_schmidti,Pantolambda_bathmodon,Titanoides_primaevus"
113,-6.743216594,-3.102058007,Paleocene,Alcidedorbignya_inopinata
114,7.964215678,3.280560846,Mesozoic,"Coryphodon_elephantopus,Coryphodon_hamatus,Leptolambda_schmidti,Pantolambda_bathmodon,Titanoides_primaevus"
115,8.07969814,3.28566162,Paleocene,"Leptolambda_schmidti,Pantolambda_bathmodon,Titanoides_primaevus"
116,8.101860354,3.303920373,Paleocene,"Leptolambda_schmidti,Pantolambda_bathmodon"
117,8.106908217,-3.318136375,Paleocene,Pantolambda_bathmodon
118,8.091053835,3.322124796,Paleocene,Leptolambda_schmidti
119,8.489141122,3.282049573,Paleocene,Titanoides_primaevus
120,8.004176025,3.351908151,Paleocene,"Coryphodon_elephantopus,Coryphodon_hamatus"
121,7.953291343,3.283181897,Eocene stem groups,Coryphodon_elephantopus
122,7.952945174,3.286121014,Eocene stem groups,Coryphodon_hamatus
