Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
104,60,1.12273,63537,63.537,4.436724,0.810177,1.351795,20.08418,0.000726,0.000507,0.000526,0.001314,0.005399,0.001554,0.000372,0.042188,0.000815,0.000569,0.000591,0.001475,"Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Leptolambda_schmidti,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Mouillacitherium_elegans,Notostylops_murinus,Oldfieldthomasia_debilitata,Oxacron_sp.,Palaeosyops_robustus,Pantolambda_bathmodon,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Protoreodon_petersoni,Protylopus_sp.,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Xenicohippus_sp.,Zygorhiza_kochii"
105,2,21.766112,63236,63.236,3.85758,0.837138,1.236514,17.998576,0.000615,0.000532,0.000523,0.000827,0.104675,0.030128,0.007205,0.817897,0.013384,0.011577,0.011384,0.018005,"Tetheopsis_ingens,Uintatherium_anceps"
106,1,8.541614,63660,63.66,4.123824,0.820342,1.348117,18.772049,0.000665,0.000501,0.000526,0.001012,0.041077,0.011823,0.002827,0.320965,0.005677,0.004281,0.004493,0.008642,Uintatherium_anceps
107,1,8.464146,63963,63.963,4.314552,0.805439,1.423131,19.157751,0.000699,0.00052,0.000528,0.001119,0.040705,0.011716,0.002802,0.318054,0.005913,0.0044,0.004466,0.009475,Tetheopsis_ingens
108,8,5.561542,63133,63.133,3.76798,0.847153,1.151411,17.641984,0.000601,0.000509,0.000521,0.00076,0.026746,0.007698,0.001841,0.208984,0.003342,0.002834,0.002895,0.004224,"Alcidedorbignya_inopinata,Coryphodon_elephantopus,Coryphodon_hamatus,Leptolambda_schmidti,Pantolambda_bathmodon,Titanoides_primaevus,Trogosus_grangeri,Trogosus_hillsii"
109,2,12.48521,63822,63.822,4.010261,1.021521,1.255195,19.748519,0.000637,0.000516,0.000522,0.000985,0.060042,0.017282,0.004133,0.469152,0.007959,0.006443,0.006519,0.012297,"Trogosus_grangeri,Trogosus_hillsii"
110,1,7.673527,64011,64.011,4.04951,1.360339,1.292458,20.054711,0.000645,0.000494,0.000523,0.000999,0.036902,0.010621,0.00254,0.288345,0.004948,0.003789,0.004013,0.007667,Trogosus_grangeri
111,1,7.665186,63638,63.638,3.884817,1.216182,1.209559,20.37697,0.000611,0.000469,0.000521,0.000861,0.036862,0.01061,0.002537,0.288032,0.004684,0.003594,0.003994,0.0066,Trogosus_hillsii
112,6,2.27773,64229,64.229,4.293053,1.054332,1.315345,20.831737,0.000688,0.000511,0.000523,0.001158,0.010954,0.003153,0.000754,0.085589,0.001568,0.001163,0.001192,0.002637,"Alcidedorbignya_inopinata,Coryphodon_elephantopus,Coryphodon_hamatus,Leptolambda_schmidti,Pantolambda_bathmodon,Titanoides_primaevus"
113,1,3.671445,63302,63.302,3.613147,1.341428,1.08998,17.930534,0.000572,0.000492,0.000519,0.000619,0.017656,0.005082,0.001215,0.137961,0.002099,0.001805,0.001905,0.002274,Alcidedorbignya_inopinata
