Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
165,1,2.819807,100000,100,2959677.775,1438319.757,1884495.754,5946529.036,163276211.6,96788882.08,123941618,250477771.9,191.285687,267.907979,202.344245,64.322988,460407404.5,272925967.2,349491441.9,706298974.5,Claenodon_ferox
166,2,4.184261,100000,100,3042431.238,2082779.882,1894460.522,10066249.79,167833290.6,123256552.4,124583610.3,342239848,283.845397,397.543841,300.254994,95.447727,702258292.4,515737585.2,521290341.8,1432020848,"Arctocyon_primaevus,Arctocyonides_arenae"
167,1,4.084956,100000,100,3218800.318,1441987.827,1924300.627,7634627.636,178440926.2,94895203.82,126264689.7,362799271.9,277.108899,388.10894,293.129047,93.182468,728923332.1,387642732.2,515785701.9,1482019062,Arctocyonides_arenae
168,1,4.08373,100000,100,3230894.442,1496133.206,1934384.62,6726440.173,179888634.2,107894010.7,126770184.1,320029607.6,277.025732,387.992458,293.041071,93.154502,734616612.1,440610008.5,517695203.8,1306914509,Arctocyon_primaevus
169,24,4.102011,100000,100,1673722.996,77135.91867,1158179.241,4216892.937,92489844.29,1257413.609,81774209.45,175515948.8,278.26585,389.729324,294.352883,93.571512,379394358.7,5157924.457,335438706.7,719968352.5,"Agriochoerus_sp.,Anoplotherium_sp.,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Diplobune_sp.,Dorudon_atrox,Eotylopus_sp.,Homacodon_vagans,Leptotragulus_sp.,Mouillacitherium_elegans,Oxacron_sp.,Protoreodon_petersoni,Protylopus_sp.,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Tapirulus_hyracinus,Zygorhiza_kochii"
170,4,5.23906,100000,100,1369739.441,48414.59437,886850.2897,3480789.304,76203686.98,3177006.79,62886170.68,152741826.4,355.399213,497.759589,375.94546,119.508886,399235688.3,16644529.19,329464421.3,800223593.2,"Diacodexis_ilicis,Dichobune_leporina,Homacodon_vagans,Mouillacitherium_elegans"
171,3,2.248625,100000,100,1378251.205,22385.88693,847413.6187,3507658.768,76915034.94,3329884.191,60218533.9,156679118.5,152.53873,213.640359,161.357259,51.29368,172953070.4,7487660.84,135408900.8,352312582.7,"Diacodexis_ilicis,Dichobune_leporina,Mouillacitherium_elegans"
172,1,20.55679,100000,100,1279149.264,-58122.93076,837168.0356,2756584.259,71162765.26,2980150.237,59556607.64,118432099.3,1394.499585,1953.08688,1475.118032,468.923637,1462878021,61262322.59,1224292676,2434583795,Mouillacitherium_elegans
173,2,1.652761,100000,100,1439941.553,87091.00525,844689.1683,3788140.088,80612249.53,9490932.167,59986531.62,184799721.1,112.117433,157.027718,118.599137,37.701348,133232782.1,15686242.54,99143399.98,305429771.8,"Diacodexis_ilicis,Dichobune_leporina"
174,1,1.420065,100000,100,1465162.028,53084.47486,844808.2646,4175906.952,81876259.97,-848215.8473,59853735.7,204736661.5,96.332163,134.919427,101.901293,32.393289,116269611.1,-1204521.637,84996195.19,290739367.3,Diacodexis_ilicis
