Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
48,3,2.363713,87212,87.212,25.464014,3.506651,6.537379,93.333437,0.014278,0.002348,0.009097,0.031841,0.181403,0.00972,0.003886,0.740058,0.033749,0.00555,0.021502,0.075262,"Ignacius_graybullianus,Plesiadapis_cookei,Plesiadapis_tricuspidens"
49,1,4.467378,87200,87.2,24.397978,3.53128,6.503763,86.70644,0.013694,0.002235,0.009014,0.025566,0.342848,0.018371,0.007344,1.398697,0.061178,0.009983,0.04027,0.114212,Ignacius_graybullianus
50,2,1.674197,94360,94.36,42.040316,25.323485,10.012435,187.307883,0.023236,0.011684,0.014773,0.048084,0.128486,0.006885,0.002752,0.524176,0.038902,0.019561,0.024732,0.080502,"Plesiadapis_cookei,Plesiadapis_tricuspidens"
51,1,1.672302,96530,96.53,55.833611,12.028354,12.600216,207.997386,0.031044,0.011066,0.01857,0.055165,0.128341,0.006877,0.002749,0.523583,0.051914,0.018506,0.031055,0.092252,Plesiadapis_cookei
52,1,1.628586,98011,98.011,61.254503,32.530029,14.016265,243.009711,0.033163,0.01227,0.020408,0.055449,0.124986,0.006697,0.002677,0.509896,0.054009,0.019983,0.033236,0.090303,Plesiadapis_tricuspidens
53,6,5.402785,88474,88.474,23.897162,1.566325,6.456465,79.998563,0.013481,0.002596,0.008604,0.021978,0.414636,0.022217,0.008882,1.691564,0.072833,0.014027,0.046484,0.118742,"Adapis_parisiensis,Microchoerus_erinaceus,Necrolemur_antiquus,Notharctus_tenebrosus,Rooneyia_viejaensis,Smilodectes_gracilis"
54,3,10.39126,85619,85.619,18.237002,6.525172,5.245988,72.469339,0.010315,0.003417,0.006489,0.023448,0.797476,0.04273,0.017083,3.253412,0.107181,0.035508,0.06743,0.243652,"Microchoerus_erinaceus,Necrolemur_antiquus,Rooneyia_viejaensis"
55,1,7.805407,84932,84.932,16.333056,3.404639,5.023932,55.05263,0.009456,0.003214,0.005952,0.019637,0.599025,0.032097,0.012832,2.443804,0.073807,0.025086,0.046462,0.153276,Rooneyia_viejaensis
56,2,5.746489,85402,85.402,17.371692,8.180602,5.096597,75.282928,0.009914,0.003204,0.006165,0.020696,0.441013,0.02363,0.009447,1.799175,0.056972,0.018414,0.035428,0.118928,"Microchoerus_erinaceus,Necrolemur_antiquus"
57,1,4.888695,86197,86.197,18.314204,5.008541,5.322812,72.327528,0.010383,0.002408,0.006661,0.019454,0.375182,0.020103,0.008037,1.530607,0.050757,0.01177,0.032562,0.095105,Necrolemur_antiquus
58,1,3.666024,86195,86.195,18.535708,3.2626,5.327517,66.59705,0.010611,0.002729,0.006695,0.021398,0.281349,0.015075,0.006027,1.1478,0.038901,0.010005,0.024544,0.078444,Microchoerus_erinaceus
59,3,3.756608,83687,83.687,15.885206,4.761301,4.740847,59.789404,0.009129,0.002877,0.005078,0.018106,0.2883,0.015448,0.006176,1.176161,0.034293,0.010808,0.019077,0.068016,"Adapis_parisiensis,Notharctus_tenebrosus,Smilodectes_gracilis"
60,1,17.16625,83341,83.341,14.606999,4.983097,4.583661,49.46204,0.008317,0.001806,0.004711,0.013461,1.317421,0.07059,0.028221,5.374602,0.142775,0.030996,0.080878,0.231068,Adapis_parisiensis
61,2,2.350857,83989,83.989,17.132159,14.826016,4.774512,83.077927,0.009801,0.001938,0.005232,0.023727,0.180416,0.009667,0.003865,0.736033,0.02304,0.004556,0.012299,0.05578,"Notharctus_tenebrosus,Smilodectes_gracilis"
62,1,2.033847,83723,83.723,15.416797,6.08466,4.665779,56.42092,0.008893,0.001586,0.004919,0.019579,0.156087,0.008363,0.003344,0.63678,0.018087,0.003226,0.010005,0.039821,Notharctus_tenebrosus
63,1,2.347549,83765,83.765,15.906622,10.003227,4.687258,70.437746,0.009014,0.001747,0.005005,0.017599,0.180162,0.009653,0.003859,0.734997,0.02116,0.004101,0.011749,0.041314,Smilodectes_gracilis
64,49,1.57911,60103,60.103,4.671883,3.321132,1,18.790208,0.002545,0.002011,0.002058,0.003867,0.121189,0.006494,0.002596,0.494405,0.004019,0.003176,0.00325,0.006106,"Acmeodon_secans,Agriochoerus_sp.,Alcidedorbignya_inopinata,Anisonchus_sectorus,Arctocyon_primaevus,Arctocyonides_arenae,Bathygenys_reevesi,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Ectoconus_ditrigonus,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Leptolambda_schmidti,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Mouillacitherium_elegans,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Robiacina_lavergnensis,Sinopa_lania,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp."
65,1,15.648142,59976,59.976,4.60769,0.529119,1,13.710546,0.002523,0.00196,0.002063,0.003523,1.200914,0.064348,0.025726,4.899295,0.039479,0.030671,0.032282,0.055122,Acmeodon_secans
66,2,32.857,62484,62.484,5.843872,0.696342,1,21.375083,0.003232,0.001999,0.002112,0.005974,2.521606,0.135113,0.054017,10.287237,0.10621,0.06569,0.069394,0.196284,"Palaeophyllophora_oltina,Palaeophyllophora_quercyi"
67,1,9.401399,60530,60.53,4.650108,0.520242,1,14.132865,0.002562,0.001721,0.002067,0.005697,0.721509,0.03866,0.015456,2.943495,0.024087,0.016176,0.019431,0.053564,Palaeophyllophora_oltina
68,1,8.129926,60485,60.485,4.600379,0.343374,1,13.071647,0.00251,0.001766,0.002065,0.003719,0.62393,0.033432,0.013366,2.545408,0.020407,0.014355,0.016791,0.030238,Palaeophyllophora_quercyi
