Species,Abbreviations,Period,Group,FAD_Ma,LAD_Ma,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Petrosal_lobules_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,PL_percentage,Neorcortex_surface_percentage,Period2,Order,Collection number,Status,NALMA/SALMA/ELMA/ALMA
Leptotragulus_sp.,Le_sp,Eocene,Eocene crown groups,47.9,35.2,8817500,8817.5,21.417,21417,960,NA,NA,NA,4.482420507,NA,NA,middle to late Eocene,Artiodactyla,AMNH 107976,literature,early Uintan (Ui1)-Ch2
Agriochoerus_sp.,Ag_sp,Eocene,Eocene crown groups,45.3,35.2,11634000,11634,33,33000,1643,NA,NA,NA,4.978787879,NA,NA,middle Eocene,Artiodactyla,AMNH 95330,literature,late Uintan (Ui2)-Ch2
Mouillacitherium_elegans,Mo_el,Eocene,Eocene crown groups,37.8,37.5,863500,863.5,6.96,6960,505,NA,NA,NA,7.255747126,NA,NA,late Eocene,Artiodactyla,UM2 ACQ 6625,literature,Headonian (MP17a-MP17b)
Tapirulus_hyracinus,Ta_hy,Eocene,Eocene crown groups,37,33.9,2250000,2250,10.707,10707,800,NA,NA,NA,7.471747455,NA,NA,late Eocene,Artiodactyla,MNHN 1893-11,literature,Headonian (MP18-?)
Cebochoerus_sp.,Ce_sp,Eocene,Eocene crown groups,43.4,35,4627500,4627.5,17.2,17200,NA,NA,NA,NA,NA,NA,NA,middle to late Eocene,Artiodactyla,NA,literature,Robiacian and Headonian (MP14-MP18)
Oxacron_sp.,Ox_sp,Eocene,Eocene crown groups,35,33.9,576000,576,1.9,1900,NA,NA,NA,NA,NA,NA,NA,late Eocene,Artiodactyla,NA,literature,Headonian (MP19-?)
Eoryctes_melanus,Eo_me,Eocene,Eocene stem groups,55.5,54.5,66980,66.98,0.96,960,160,NA,NA,NA,16.66666667,NA,NA,early Eocene,Palaeoryctidae ,UM 68074,literature,Wasatchian Wa2-Wa3
Trogosus_hillsii,Tr_hi,Eocene,Eocene stem groups,52.1,47.9,86686200,86686.2,61.0212,61021.2,4428.85,NA,1313.58,12676.3,7.257887423,NA,10.36248748,middle Eocene,Tillodontia,USNM 17157,segmented,Bridgerian
Trogosus_grangeri,Tr_gr,Eocene,Eocene stem groups,52.1,47.9,86605030,86605.03,78.59746,78597.46,9773.96,NA,NA,18170.63,12.43546547,NA,NA,middle Eocene,Tillodontia,AMNH FM 17008,segmented,Bridgerian
Leptictis_sp.,Le_sp,Eocene,Eocene stem groups,42.8,28,742950,742.95,4.30764,4307.64,406.576,70.4,268.785,2034.85,9.438486039,1.634305559,13.20908175,middle Eocene - late Oligocene,Lepticticida,AMNH 62369,segmented,Ui3 to Ar1
Metacheiromys_marshi,Me_ma,Eocene,Eocene stem groups,52.1,47.9,713360,713.36,6.64168,6641.68,425.832,10.23,307.182,2678.25,6.411510341,0.154027294,11.46950434,middle Eocene,Palaeanodonta (Pangolin),USNM 452349,segmented,Bridgerian
Mesonyx_obtusidens,Me_ob,Eocene,Eocene stem groups,49.25,48.6,97372750,97372.75,80,80000,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Mesonychidae,YPM 13141,literature,Bridgerian Br2
Uintatherium_anceps,Ui_an,Eocene,Eocene stem groups,49.25,39.8,1037055170,1037055.17,300,300000,41000,NA,NA,NA,13.66666667,NA,NA,middle Eocene,Dinocerata,YPM 11036,literature,Br2-Ui3
Tetheopsis_ingens,Te_in,Eocene,Eocene stem groups,47.9,42.8,6270204030,6270204.03,365,365000,11000,NA,NA,NA,3.01369863,NA,NA,middle Eocene,Dinocerata,YPM 11041,literature,early Uintan Ui1-Ui2
Thinocyon_velox,Th_ve,Eocene,Eocene stem groups,52.1,47.9,964130,964.13,6,6000,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Creodonta,AMNH 12631,literature,Bridgerian Br1-Br3
Tritemnodon_agilis,Tr_ag,Eocene,Eocene stem groups,52.1,47.9,9003080,9003.08,26,26000,NA,NA,NA,NA,NA,NA,NA,middle Eocene,Creodonta,YPM 10073,literature,Bridgerian
Cynohyaenodon_cayluxi,Cy_ca,Eocene,Eocene stem groups,40.1,37,1358890,1358.89,8.3,8300,500,NA,NA,NA,6.024096386,NA,NA,middle to late Eocene,Creodonta,MH (809) - Jerison 1973,literature,MP 16-17b
Pterodon_dasyuroides,Pt_da,Eocene,Eocene stem groups,37,33.75,84491330,84491.33,60,60000,NA,NA,NA,NA,NA,NA,NA,late Eocene,Creodonta,MH (809) - Jerison 1973,literature,Headonian (MP18-MP20)
Hyaenodon_horridus,Hy_ho,Eocene,Eocene stem groups,39.8,29.7,34357400,34357.4,85,85000,7000,NA,NA,NA,8.235294118,NA,NA,late Eocene-early Oligocene,Creodonta,AMNH 94760; FMNH 12723; PU 10043,literature,Duchesnean-Whitneyan
Sinopa_lania,Si_la,Eocene,Eocene stem groups,50.05,47.9,4188520,4188.52,11.6036,11603.6,501.146,38.9,893.27,4560.47,4.318883795,0.335240787,19.58723553,middle Eocene,Creodonta,AMNH 13142,segmented,late Bridgerian Br1b-Br3
