Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
68,1,17.16625,98951,98.951,16.902441,11.698938,12.212249,33.252579,1.095495,0.859742,0.948402,1.324565,2.133888,1.008399,1.329535,3.520739,18.805544,14.758553,16.280499,22.737812,Adapis_parisiensis
69,2,2.350857,98977,98.977,19.396749,8.133322,12.401988,52.370958,1.264153,0.766425,0.958624,2.433496,0.292228,0.138097,0.182075,0.482153,2.971844,1.801756,2.253587,5.7208,"Notharctus_tenebrosus,Smilodectes_gracilis"
70,1,2.033847,98972,98.972,18.217809,8.88736,12.299392,48.490313,1.178535,0.698875,0.953752,2.295438,0.252822,0.119474,0.157522,0.417135,2.39696,1.421405,1.939786,4.66857,Notharctus_tenebrosus
71,1,2.347549,98974,98.974,18.130425,8.443538,12.313726,41.380772,1.184092,0.901908,0.95391,2.075128,0.291817,0.137902,0.181819,0.481474,2.779713,2.117273,2.239351,4.871464,Smilodectes_gracilis
72,77,1.57911,98930,98.93,23.706199,14.243466,12.935138,83.577164,1.568977,0.606432,0.986152,4.849978,0.196295,0.092762,0.122303,0.32387,2.477587,0.957624,1.557242,7.658649,"Acmeodon_secans,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Leptolambda_schmidti,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Mouillacitherium_elegans,Notostylops_murinus,Oldfieldthomasia_debilitata,Oodectes_herpestoides,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Protoreodon_petersoni,Protylopus_sp.,Pterodon_dasyuroides,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Sinopa_lania,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Thinocyon_velox,Titanoides_primaevus,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zygorhiza_kochii"
73,1,15.648142,98898,98.898,21.051411,16.168642,12.747843,93.538321,1.369855,0.91785,0.977593,3.61199,1.945176,0.91922,1.211956,3.20938,21.435687,14.362647,15.297515,56.52093,Acmeodon_secans
74,2,32.857,98934,98.934,21.54419,8.583416,12.747843,67.542192,1.429955,0.717707,0.977683,4.699698,4.084361,1.930122,2.544791,6.738858,46.984039,23.581715,32.123723,154.41798,"Palaeophyllophora_oltina,Palaeophyllophora_quercyi"
75,1,9.401399,98939,98.939,21.58908,7.963037,12.763892,62.957719,1.430859,0.900046,0.977813,3.521957,1.168661,0.552267,0.728143,1.928195,13.452077,8.461695,9.192814,33.111322,Palaeophyllophora_oltina
76,1,8.129926,98943,98.943,21.755264,13.881845,12.771848,66.54503,1.437184,0.84429,0.978403,3.468038,1.010608,0.477577,0.629667,1.66742,11.684203,6.864012,7.954345,28.19489,Palaeophyllophora_quercyi
77,74,1.272585,99915,99.915,379.604669,-1.204652,235.951514,930.764319,23.998661,1.109804,20.27493,44.879758,0.158191,0.074756,0.098562,0.261003,30.540336,1.41232,25.801572,57.113307,"Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Leptolambda_schmidti,Leptotragulus_sp.,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Mouillacitherium_elegans,Notostylops_murinus,Oldfieldthomasia_debilitata,Oodectes_herpestoides,Oxacron_sp.,Palaeosyops_robustus,Pantolambda_bathmodon,Phenacodus_primaevus,Phenacodus_wortmani,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Protoreodon_petersoni,Protylopus_sp.,Pterodon_dasyuroides,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Saghacetus_osiris,Sinopa_lania,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Thinocyon_velox,Titanoides_primaevus,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zygorhiza_kochii"
